"year","duration","years","track","artist"
"2010","3.5","Years 2010-2019","Stay","Zedd & Alessia Cara"
"2010","4.83","Years 2010-2019","Remember You","Wiz Khalifa Featuring The Weeknd"
"2010","4.5","Years 2010-2019","Heartbreak Warfare","John Mayer"
"2010","3.29","Years 2010-2019","2 Reasons","Trey Songz Featuring T.I."
"2010","4.73","Years 2010-2019","Shining","DJ Khaled Featuring Beyonce & JAY Z"
"2010","3.16","Years 2010-2019","Still Here","Drake"
"2010","3.39","Years 2010-2019","Run Up","Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj"
"2010","3.26","Years 2010-2019","Whispers In The Dark","Mumford & Sons"
"2010","3.89","Years 2010-2019","Locked Out Of Heaven","Bruno Mars"
"2010","3.72","Years 2010-2019","Word Crimes","""""""Weird Al"""" Yankovic"""
"2010","2.94","Years 2010-2019","Issues","Julia Michaels"
"2010","4.2","Years 2010-2019","Check It Out","will.i.am & Nicki Minaj"
"2010","3.1","Years 2010-2019","4422","Drake Featuring Sampha"
"2010","3.38","Years 2010-2019","Young Dumb & Broke","Khalid"
"2010","3.58","Years 2010-2019","Want U Back","Cher Lloyd"
"2010","4.76","Years 2010-2019","The Moment I Knew","Taylor Swift"
"2010","3.64","Years 2010-2019","Molly","""Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall"""
"2010","3.73","Years 2010-2019","Craving You","Thomas Rhett Featuring Maren Morris"
"2010","3.32","Years 2010-2019","Something To Do With My Hands","Thomas Rhett"
"2010","6.53","Years 2010-2019","The Boys of Fall","Kenny Chesney"
"2010","3.84","Years 2010-2019","Mixed Personalities","YNW Melly Featuring Kanye West"
"2010","3.66","Years 2010-2019","A Little More Summertime","Jason Aldean"
"2010","4.12","Years 2010-2019","U Can't Touch This","Glee Cast"
"2010","4.14","Years 2010-2019","Confident","Justin Bieber Featuring Chance The Rapper"
"2010","3.6","Years 2010-2019","Hey Pretty Girl","Kip Moore"
"2010","2.76","Years 2010-2019","Good Vibes","Chris Janson"
"2010","3.7","Years 2010-2019","Shots","LMFAO Featuring Lil Jon"
"2010","3.6","Years 2010-2019","One Time","Justin Bieber"
"2010","2.48","Years 2010-2019","Camelot","NLE Choppa"
"2010","3.85","Years 2010-2019","Slide","Calvin Harris Featuring Frank Ocean & Migos"
"2010","3.78","Years 2010-2019","Post To Be","Omarion Featuring Chris Brown & Jhene Aiko"
"2010","4.09","Years 2010-2019","everything i wanted","Billie Eilish"
"2010","2.13","Years 2010-2019","I Love It","Kanye West & Lil Pump"
"2010","3.55","Years 2010-2019","Best Friend","Young Thug"
"2010","4.35","Years 2010-2019","Bad Liar","Imagine Dragons"
"2010","2.81","Years 2010-2019","All The Good Girls Go To Hell","Billie Eilish"
"2010","3.85","Years 2010-2019","You Belong With Me","Taylor Swift"
"2010","3.37","Years 2010-2019","Ex's & Oh's","Elle King"
"2010","3.64","Years 2010-2019","Rockstar","Post Malone Featuring 21 Savage"
"2010","3.84","Years 2010-2019","Check","Young Thug"
"2010","4","Years 2010-2019","Ain't Back Yet","Kenny Chesney"
"2010","4.08","Years 2010-2019","Wit Me","T.I. Featuring Lil Wayne"
"2010","3.1","Years 2010-2019","Little White Church","Little Big Town"
"2010","4.19","Years 2010-2019","Don't Let Me Be Lonely","The Band Perry"
"2010","4.69","Years 2010-2019","There Goes My Baby","Usher"
"2010","3.87","Years 2010-2019","i","Kendrick Lamar"
"2010","3.67","Years 2010-2019","Congratulations","Post Malone Featuring Quavo"
"2010","3.23","Years 2010-2019","Growing Pains","Alessia Cara"
"2010","7.09","Years 2010-2019","Not Ready To Die","Avenged Sevenfold"
"2010","3.24","Years 2010-2019","Sober Saturday Night","Chris Young Featuring Vince Gill"
"2010","2.96","Years 2010-2019","Splashin","Rich The Kid"
"2010","5.57","Years 2010-2019","Redemption","Drake"
"2010","2.87","Years 2010-2019","Night Shift","Jon Pardi"
"2010","4.56","Years 2010-2019","Let There Be Cowgirls","Chris Cagle"
"2010","3.02","Years 2010-2019","Sucker","Jonas Brothers"
"2010","3.84","Years 2010-2019","Letting Go (Dutty Love)","Sean Kingston Featuring Nicki Minaj"
"2010","3.62","Years 2010-2019","Need You Now","Glee Cast"
"2010","4.3","Years 2010-2019","Til It Happens To You","Lady Gaga"
"2010","4.78","Years 2010-2019","John","Lil Wayne Featuring Rick Ross"
"2010","4.37","Years 2010-2019","Changed","Rascal Flatts"
